Time;Value;Stress
0.0;1.427;5.649
0.003333359851709242;1.387;5.649
0.006666719703418484;1.347;5.649
0.010000079555127725;1.333;5.649
0.013333439406836968;1.347;5.648
0.016666799258546208;1.413;5.648
0.02000015911025545;1.56;5.648
0.023333518961964693;1.76;5.648
0.026666878813673935;2.04;5.648
0.030000238665383178;2.347;5.648
0.033333598517092417;2.64;5.648
0.03666695836880166;2.907;5.648
0.0400003182205109;3.093;5.648
0.04333367807222015;3.2;5.648
0.046667037923929386;3.24;5.648
0.05000039777563863;3.173;5.648
0.05333375762734787;3.04;5.648
0.05666711747905711;2.84;5.648
0.060000477330766355;2.613;5.648
0.0633338371824756;2.373;5.647
0.06666719703418483;2.133;5.647
0.07000055688589409;1.933;5.647
0.07333391673760332;1.76;5.647
0.07666727658931256;1.653;5.647
0.0800006364410218;1.573;5.647
0.08333399629273104;1.52;5.647
0.0866673561444403;1.467;5.647
0.09000071599614953;1.44;5.647
0.09333407584785877;1.4;5.647
0.09666743569956801;1.387;5.647
0.10000079555127726;1.373;5.647
0.1033341554029865;1.36;5.647
0.10666751525469574;1.36;5.647
0.11000087510640498;1.36;5.647
0.11333423495811422;1.36;5.646
0.11666759480982347;1.36;5.646
0.12000095466153271;1.373;5.646
0.12333431451324195;1.373;5.646
0.1266676743649512;1.387;5.646
0.13000103421666043;1.4;5.646
0.13333439406836967;1.4;5.646
0.1366677539200789;1.413;5.646
0.14000111377178817;1.427;5.646
0.1433344736234974;1.44;5.646
0.14666783347520665;1.453;5.646
0.1500011933269159;1.467;5.646
0.15333455317862513;1.467;5.646
0.15666791303033437;1.48;5.646
0.1600012728820436;1.493;5.645
0.16333463273375284;1.493;5.645
0.16666799258546208;1.507;5.645
0.17000135243717135;1.52;5.645
0.1733347122888806;1.52;5.645
0.17666807214058983;1.533;5.645
0.18000143199229907;1.547;5.645
0.1833347918440083;1.547;5.645
0.18666815169571754;1.56;5.645
0.19000151154742678;1.573;5.645
0.19333487139913602;1.573;5.645
0.19666823125084526;1.587;5.645
