Time;Value;Stress
0.0;3.4;2.639
0.0033334032160003356;3.4;2.639
0.006666806432000671;3.4;2.64
0.010000209648001007;3.4;2.64
0.013333612864001343;3.4;2.64
0.01666701608000168;3.4;2.64
0.020000419296002013;3.4;2.641
0.02333382251200235;3.4;2.641
0.026667225728002685;3.4;2.641
0.03000062894400302;3.4;2.641
0.03333403216000336;3.4;2.641
0.03666743537600369;3.4;2.642
0.040000838592004026;3.4;2.642
0.04333424180800436;3.4;2.642
0.0466676450240047;3.4;2.642
0.050001048240005036;3.4;2.642
0.05333445145600537;3.4;2.643
0.056667854672005705;3.4;2.643
0.06000125788800604;3.4;2.643
0.06333466110400637;3.4;2.643
0.06666806432000671;3.4;2.643
0.07000146753600704;3.4;2.644
0.07333487075200738;3.4;2.644
0.07666827396800772;3.4;2.644
0.08000167718400805;3.4;2.644
0.0833350804000084;3.4;2.644
0.08666848361600872;3.4;2.645
0.09000188683200906;3.4;2.645
0.0933352900480094;3.4;2.645
0.09666869326400973;3.4;2.645
0.10000209648001007;3.4;2.646
0.1033354996960104;3.4;2.646
0.10666890291201074;3.4;2.646
0.11000230612801108;3.4;2.646
0.11333570934401141;3.4;2.646
0.11666911256001175;3.4;2.647
0.12000251577601208;3.4;2.647
0.12333591899201242;3.4;2.647
0.12666932220801275;3.4;2.647
0.1300027254240131;3.4;2.647
0.13333612864001343;3.4;2.648
0.13666953185601377;3.4;2.648
0.14000293507201408;3.4;2.648
0.14333633828801443;3.4;2.648
0.14666974150401477;3.4;2.648
0.1500031447200151;3.4;2.649
0.15333654793601545;3.4;2.649
0.15666995115201576;3.4;2.649
0.1600033543680161;3.4;2.649
0.16333675758401645;3.4;2.649
0.1666701608000168;3.4;2.65
0.17000356401601713;3.4;2.65
0.17333696723201744;3.4;2.65
0.17667037044801778;3.4;2.65
0.18000377366401812;3.4;2.651
0.18333717688001847;3.4;2.651
0.1866705800960188;3.4;2.651
0.19000398331201912;3.4;2.651
0.19333738652801946;3.4;2.651
0.1966707897440198;3.4;2.652
0.20000419296002014;3.4;2.652
0.20333759617602049;3.4;2.652
0.2066709993920208;3.4;2.652
0.21000440260802114;3.4;2.652
0.21333780582402148;3.4;2.653
0.21667120904002182;3.4;2.653
0.22000461225602216;3.4;2.653
0.22333801547202248;3.4;2.653
0.22667141868802282;3.4;2.653
0.23000482190402316;3.4;2.654
0.2333382251200235;3.4;2.654
0.23667162833602384;3.4;2.654
0.24000503155202416;3.4;2.654
0.2433384347680245;3.4;2.654
0.24667183798402484;3.4;2.655
0.25000524120002515;3.4;2.655
0.2533386444160255;3.4;2.655
0.25667204763202583;3.4;2.655
0.2600054508480262;3.4;2.656
0.2633388540640265;3.4;2.656
0.26667225728002686;3.4;2.656
0.2700056604960272;3.4;2.656
0.27333906371202754;3.4;2.656
0.2766724669280279;3.4;2.657
0.28000587014402817;3.4;2.657
0.2833392733600285;3.4;2.657
0.28667267657602885;3.4;2.657
0.2900060797920292;3.4;2.657
0.29333948300802953;3.4;2.658
0.2966728862240299;3.4;2.658
